tmc,speed_limit
129N08685,30
129N08681,30
129P08681,30
129-06473,30
129P10226,30
129P10191,30
129N10043,30
C-173-11,20
129P08062,35
C-177-14,30
C-178-02,30
C-192-03,30
C-205-09,30
C-205-11,
C-206-11,
C-206-13,30
129P10230,30
C-205-19,30
C-172-08,30
C-165-10,25
129+04109,55
129+04745,45
129+04666,55
129P05867,55
129+05867,55
129N04186,60
129+04779,50
129+04919,45
129N04434,45
129N04661,65
129N04775,50
129N04136,65
129N04289,65
129N04177,40
129N04334,55
129N04357,55
129N04390,65
129N04427,40
129N04125,45
129N04354,55
129N04182,60
129N04345,65
129N04262,50
129N04406,55
129P04370,55
129N04382,55
129+04369,55
129N04295,65
129+04405,55
129+04103,55
129+04118,45
129+04366,55
129P04274,65
129+04280,65
129+04435,45
129+04343,65
129+04423,65
129+04115,45
129P04144,65
129+04322,65
129+04272,35
129+04748,45
129-04376,55
129-04643,55
129+04384,55
129+04428,50
129N04613,65
129N04303,65
129+04344,65
129+04128,55
129-04361,55
129+04348,65
129+04750,45
129-04328,50
129+04775,50
129+16182,65
129P04294,65
129N04099,55
129-14217,55
129N04108,55
129N04313,55
129N04272,55
129-14199,45
129-04329,55
129-04333,55
129+04269,55
129+04443,65
129-04271,55
129-04386,65
129-04387,65
129+04138,65
129N04271,55
129N05867,65
129P04320,65
129P04355,55
129P04386,65
129N04323,65
129+04278,65
129N04665,55
129+04398,65
129N04401,55
129N04752,25
129+04146,65
129N04782,50
129+13228,65
129-04248,55
129-04254,55
129-04460,65
129+04119,45
129-04113,45
129+04187,60
129+04481,55
129-16182,65
129-04133,65
129-04420,50
129-04317,65
129-04462,55
129-04756,55
129-04104,55
129-04381,55
129-04106,55
129+04129,55
129+04276,65
129N04253,55
129N04336,55
129N04779,50
129-04342,65
129+04279,65
129-04270,55
129+04771,50
129-04249,55
129-04753,55
129-04099,55
129N04297,65
129N04315,65
129+04624,65
129P04375,55
129P04362,55
129P04433,45
129-04296,65
129+13229,65
129-04667,55
129-04244,55
129-04383,55
129+04349,65
129-04140,65
129+04113,55
129+04131,65
129+04193,60
129P04399,65
129-04130,65
129-04299,65
129P04124,45
129P04138,65
129+04442,65
129-04625,65
129-04269,55
129-04334,55
129-04416,50
129-04640,55
129-04461,65
129+04781,50
129N04385,50
129N04642,55
129N04920,25
129N05584,40
129-04193,55
129-04145,65
129-04125,55
129-04332,55
129-04318,65
129-04339,65
129-04406,55
129-04644,55
129-04268,55
129-04626,65
129+04413,25
129N04481,55
129-04136,65
129-04282,65
129-04427,55
129P04249,55
129P04247,55
129P04407,55
129-04298,65
129-04351,55
129-04388,65
129-04918,45
129-04245,55
129P04432,45
129-04312,55
129-04748,45
129P04448,65
129N04443,65
129-04191,60
129N04280,65
129N04347,65
129N04403,55
129-04186,60
129-04242,55
129-04399,65
129P04301,65
129+04392,65
129N04324,65
129N04638,55
129N04376,55
129-04341,65
129-04390,65
129-04410,30
129-04434,45
129-04778,50
129P04111,55
129P04430,30
129-04413,45
129-04182,60
129-04323,65
129-04347,65
129+04362,55
129+04111,55
129-04327,55
129-04479,55
129N04278,65
129N04325,65
129P04184,60
129P04405,55
129P04640,55
129P04782,50
129+04460,65
129+04293,65
129+04335,55
129-04777,50
129-04775,50
129N04447,65
129N04400,50
129N04417,50
129N04430,30
129P04267,55
129P04302,65
129+04244,55
129+04390,65
129-04771,50
129N04393,65
129N04122,45
129N04424,65
129+04360,55
129P04337,55
129P04447,65
129+04264,50
129+04288,65
129+04385,50
129+04099,55
129+04132,65
129N04372,55
129P04178,60
129+04304,65
129+04135,65
129+04401,55
129N04404,55
129N04277,65
129+04432,55
129+04628,65
129P04395,65
129N04188,60
129P04325,45
129P04288,65
129P04462,40
129P04644,55
129N04381,55
129N04460,65
129N04311,55
129P04338,55
129P04643,55
129N04130,55
129N04355,55
129N04462,65
129+04430,55
129P04665,55
129P04122,45
129+04300,65
129P04253,55
129+04351,65
129N04179,60
129N04246,55
129N04107,55
129N04116,45
129P04352,55
129N04285,65
129P04105,55
129P04299,65
129P04419,55
129P04743,45
129N04368,55
129-04124,45
129-04117,45
129-04306,65
129P04119,45
129P04182,60
129P04282,65
129-04139,65
129-04364,55
129N04433,45
129N04756,55
129P04133,65
129P04243,55
129P04313,55
129N04184,60
129-04337,55
129-04378,55
129-04315,65
129-04353,55
129-04279,65
129-04316,65
129-04394,65
129N04388,65
129N04144,65
129+04130,55
129+04353,55
129-04111,55
129-04267,55
129-04340,65
129P04279,65
129-04300,65
129P04481,55
129N04121,45
129-04357,55
129-04265,55
129N04126,55
129-04428,55
129-04303,65
129-04289,65
129N04194,55
129N04286,65
129N04379,55
129P04429,55
129P04266,55
129-04344,65
129-04425,65
129-04678,65
129-04661,65
129-04384,55
129P04360,55
129-04400,55
129-04751,35
129-04338,55
129-04372,55
129-04385,65
129-04177,60
129-04433,45
129-04285,65
129-04120,45
129-04278,65
129N04127,55
129N04772,50
129P04245,55
129-04746,45
129N04128,55
129+04373,55
129-04274,65
129-04122,45
129-04281,65
129P04110,55
129-04379,55
129N04448,65
129-04309,65
129-04365,55
129N04141,65
129N04269,55
129-04398,65
129-04770,50
129-04780,50
129+04376,55
129+04776,50
129N04310,65
129N04291,65
129N04364,55
129N04639,55
129N04250,55
129P04244,55
129P04332,55
129P04339,65
129N14199,45
129-04322,65
129-04445,65
129N04626,65
129-04118,45
129N04479,55
129N04360,55
129N04117,45
129N04124,45
129N04449,65
129-04123,45
129-04430,30
129-04320,65
129-04638,55
129N04287,65
129N04392,65
129N04361,55
129N04105,55
129-04311,55
129N04412,15
129N04288,65
129N04306,65
129N04918,45
129+04753,45
129+04270,55
129+04381,55
129N04102,55
129N04442,65
129-04666,55
129N04101,55
129N04337,55
129+04920,45
129N04389,65
129N04119,45
129N04409,30
129P04131,65
129P04296,65
129P04341,65
129N04248,55
129N04359,55
129N04329,55
129-04431,50
129N04298,65
129N04451,50
129N04678,65
129P04366,55
129+04307,65
129N04273,65
129N04391,65
129P04121,45
129P04297,65
129P04134,65
129P04661,65
129+04296,65
129+04394,65
129+04139,65
129N04302,65
129+04121,45
129+04314,55
129N04111,55
129+04106,55
129+04347,65
129N04408,55
129+04749,45
129-04188,60
129-04382,55
129+04102,55
129+04754,45
129+04417,50
129N04187,60
129N04331,55
129N04373,55
129N04919,45
129N04394,65
129+04639,55
129+04249,55
129N04425,65
129N04615,40
129N04628,65
129N04667,55
129+04400,30
129+04444,65
129-04402,55
129+04281,65
129N04773,50
129+14217,50
129-04305,65
129-04459,65
129-04426,55
129N04110,55
129N04461,65
129-04294,65
129-04664,55
129N04754,55
129N04135,65
129N04304,65
129N04369,55
129N04745,45
129+04615,65
129+04642,55
129P04391,65
129P04381,55
129P04411,25
129N04267,55
129N04402,55
129N04296,65
129N04411,15
129N04191,60
129N04410,45
129N04431,30
129-04665,55
129-04192,55
129+04479,45
129+04364,55
129+04374,55
129N04353,55
129+04406,55
129-04116,45
129N04294,65
129N04771,50
129-04180,60
129-04189,60
129+04772,50
129-04283,65
129-04421,50
129+04445,65
129+04136,65
129+13227,65
129+04399,65
129P04126,45
129-04142,65
129P14199,45
129-04290,65
129P04285,65
129+04144,65
129+04253,55
129+04383,55
129+04414,30
129+04287,65
129-04105,55
129+05584,40
129+04365,55
129P04284,65
129+04248,55
129P04331,55
129N04321,65
129N04332,55
129-05866,55
129N04292,65
129+04354,55
129+04134,65
129+04396,65
129+04407,55
129+04371,55
129+04331,55
129+04251,55
129+04255,55
129N04290,65
129-04676,65
129+04770,50
129N04386,65
129N04346,65
129N04751,40
129N04190,60
129N04268,55
129N04370,55
129N04314,55
129N04664,55
129N04333,55
129N04426,55
129N04450,65
129N04405,55
129P04281,65
129P04108,55
129+04447,65
129+04461,65
129+04387,65
129+04410,25
129+04340,65
129N04776,50
129P13226,55
129P04642,55
129+04191,60
129N04140,65
129+04773,50
129+04921,40
129P04272,35
129P04298,65
129N04263,55
129N04276,65
129N04367,55
129N04305,65
129N04275,65
129N04778,50
129N04375,55
129N04180,60
129P04750,45
129-04404,55
129-04286,65
129-04743,55
129+04316,65
129-04138,65
129-04346,65
129P04387,65
129P04434,45
129P04340,65
129P04445,65
129+04126,45
129+04778,50
129-04143,65
129-04374,55
129-04392,65
129-04178,60
129P04678,65
129N16182,65
129+04183,60
129-04624,65
129P04141,65
129P04319,65
129P04142,65
129-04750,45
129-04414,50
129P16182,65
129+04412,25
129+04338,55
129+04292,65
129+04345,65
129+04382,55
129N04365,55
129+04315,60
129+04120,45
129+04263,40
129+04386,60
129+04627,65
129N04142,65
129N04444,65
129+04312,55
129N04921,40
129N04104,55
129-04277,65
129N04134,65
129P04480,55
129-04373,55
129+04283,65
129+04336,55
129+04254,55
129+04613,65
129+04301,65
129-04144,65
129N04623,65
129P04135,65
129P04250,55
129P04449,65
129P04451,60
129-04419,55
129N04383,55
129N04123,45
129N04244,55
129N04264,55
129-04128,55
129P04123,45
129+04289,65
129+04333,55
129+04918,45
129+04291,65
129-04677,65
129-04114,45
129+04188,60
129N04113,55
129+04446,65
129+04141,65
129+04448,65
129+04308,65
129+04640,55
129+04133,65
129-04263,55
129+04185,60
129-04314,55
129-04370,55
129-04418,55
129+04294,65
129P04414,35
129+04389,65
129N04183,60
129N04341,65
129+04282,65
129+04324,65
129+04104,55
129-04375,55
129-04345,65
129-04401,55
129-04749,45
129P04333,55
129-04280,65
129-04448,65
129-04397,65
129+04137,65
129-04754,55
129-04119,45
129P04378,55
129-04243,55
129-04287,65
129-04363,55
129-04642,55
129+04311,65
129+04747,45
129+04431,30
129-04335,55
129-04134,65
129-04194,55
129N04340,65
129-04295,65
129-04447,65
129N04312,55
129N04415,50
129N04398,65
129N04384,55
129-04356,55
129-04773,50
129N04377,55
129N04133,65
129N04143,65
129N04308,65
129N04284,65
129-04613,65
129P04290,65
129P04348,65
129N04103,55
129N04414,50
129N04252,55
129N04418,55
129N04625,65
129N04318,65
129-04112,55
129N04283,65
129-13228,65
129P04328,50
129N04279,65
129P04129,55
129P04181,60
129N04109,55
129+04756,45
129-04132,65
129-04141,65
129P04641,55
129P04262,40
129P04349,65
129P04756,45
129-04663,55
129-04772,50
129-04276,65
129-04284,65
129-04367,55
129-04343,65
129P04401,55
129+04189,60
129N04641,55
129N04317,65
129P04614,65
129P04292,65
129P04663,55
129P04280,65
129N04185,60
129-04253,55
129P04392,65
129P04443,65
129P04677,65
129N04380,55
129N04247,55
129N04335,55
129N04396,65
129N04178,60
129N04348,65
129P04781,50
129N04344,65
129N04098,55
129N04362,55
129N04106,55
129P04745,45
129N04270,55
129N04349,65
129N04614,65
129-13226,65
129P04246,55
129P04751,40
129N04339,65
129-04103,55
129-04308,65
129-04380,55
129N04351,50
129N04265,55
129N04307,65
129N04395,65
129N04420,50
129-04251,55
129-04776,50
129N04342,65
129N04138,65
129N04192,55
129N04413,45
129-04307,65
129-04389,65
129-04449,65
129-04293,65
129N04137,65
129N04677,65
129N04181,60
129N04274,65
129N04309,65
129N04322,65
129N04358,55
129N04378,55
129N04193,55
129N04328,55
129N04327,55
129-04185,60
129-04247,55
129N04114,45
129-04393,65
129-04415,50
129-04336,55
129N04251,55
129-04366,55
129-04354,55
129N04338,55
129P04918,45
129-04107,55
129-04129,55
129-04752,50
129-04879,40
129N04421,50
129-04446,65
129-04395,65
129P04269,55
129P04396,65
129N04139,65
129N04371,55
129N04374,55
129N04624,65
129N04643,55
129-04288,65
129-04301,65
129P04185,60
129P04293,65
129P04268,55
129P04303,65
129P04426,65
129-04623,65
129P04300,65
129P04359,55
129P04418,50
129+04402,55
129+04181,60
129+04429,55
129-04435,45
129P04103,55
129P04264,55
129N04100,55
129P04311,55
129P14230,65
129-04098,55
129-04184,60
129-04297,65
129-04781,50
129P04114,45
129-04273,65
129-04412,25
129-04612,65
129N04120,45
129P04774,50
129P04347,65
129P04188,60
129P04277,65
129-04264,55
129-04359,55
129-04755,55
129-04262,50
129-04313,55
129-04291,65
129+04665,55
129P04397,65
129P04283,65
129P04380,55
129-04396,65
129-04450,65
129-04920,35
129P04446,65
129+14230,65
129P04335,55
129P04771,50
129P04307,65
129-04321,65
129P04400,55
129P04461,65
129P04420,50
129P04779,50
129+04309,65
129P04775,50
129-04639,55
129+04145,65
129+04416,45
129+04625,65
129+04140,65
129+04274,65
129+04375,55
129+04415,35
129N13228,65
129P04323,65
129+04626,65
129P04137,65
129P04183,60
129P04305,65
129P04435,45
129P04189,60
129P04098,55
129P04106,55
129P04776,50
129+04328,50
129+04751,45
129N04640,55
129P04102,55
129P04329,50
129P04109,55
129P04116,45
129P04132,65
129P04309,65
129P04145,65
129P04193,55
129P04136,65
129P04358,55
129P04919,45
129P04627,65
129P04365,55
129P04273,65
129P04128,55
129P04393,65
129+04462,65
129P04321,65
129+09183,50
129+04321,65
129+04425,65
129P04192,60
129P04130,55
129+04346,65
129+04755,45
129P04248,55
129P04615,45
129P04364,55
129P04383,55
129P04394,65
129+04782,50
129P04356,55
129P04773,50
129P04278,65
129N04145,65
129N04423,65
129N04435,45
129P04442,65
129P04479,45
129P04336,55
129N04189,60
129N04299,65
129+04643,55
129P04626,65
129-04181,60
129-04302,65
129-04360,55
129P04263,40
129P04287,65
129N04663,55
129N04115,45
129N04293,65
129N04350,65
129-04774,50
129P04377,55
129P04384,55
129P04265,55
129P04623,65
129-04127,55
129-04627,65
129P04345,65
129P04639,55
129-04350,65
129-04429,55
129+04114,45
129-04411,15
129P04179,60
129-04101,55
129+04426,65
129+04277,65
129+04359,55
129+04408,55
129+04101,55
129+04295,65
129+04320,65
129-04310,60
129+04395,65
129P04404,55
129P04369,55
129N04407,55
129+04323,65
129P04423,65
129P04431,40
129P04316,65
129-04110,55
129-04408,45
129N04363,55
129N04254,55
129N13226,65
129N04416,50
129P04327,50
129P04361,55
129+04667,55
129+04305,65
129N04428,55
129N04627,65
129-04358,55
129N04245,55
129P04324,65
129P04667,55
129N14230,65
129+04368,55
129N04326,55
129N04429,55
129-04745,45
129P04270,55
129P04326,55
129P04406,55
129P04379,55
129P04271,35
129P04346,65
129+04247,55
129+04677,65
129P04368,55
129P04666,55
129N04774,50
129P04104,55
129P04180,60
129P04334,55
129-04348,65
129-04362,55
129-04424,65
129-04480,55
129P04190,60
129P04421,50
129P04385,45
129P04664,55
129P04252,55
129P04353,55
129-04377,55
129N04644,55
129P04409,25
129N04320,65
129P04191,60
129P04143,65
129P04100,55
129P04275,65
129-04432,45
129N04316,65
129N04352,55
129P04101,55
129P04254,55
129P04187,60
129P04625,65
129-04109,55
129-04326,55
129+04116,45
129+04363,55
129+04377,55
129-04183,60
129-04369,55
129N04387,65
129-04409,40
129-04275,65
129+04403,55
129P04112,55
129-04250,55
129-04443,65
129-04407,55
129P04363,55
129P04408,55
129-04355,55
129-04442,65
129-04444,65
129-04246,55
129-04371,55
129P04295,65
129+04352,55
129-04179,60
129-04108,55
129+04419,50
129P04291,65
129-04417,50
129+04325,60
129-04423,65
129N04356,55
129N04301,65
129N04445,65
129N04132,65
129P04177,60
129P04376,55
129P04351,25
129P04308,65
129P04450,65
129P04374,55
129-04121,45
129N04319,65
129+04367,55
129-04614,60
129-04641,55
129+04243,55
129+04388,65
129+04480,55
129+04661,65
129+04186,60
129N04366,55
129N04343,65
129N04282,65
129N04750,45
129N04195,55
129N04281,65
129+04355,55
129+04180,60
129+04743,45
129+04275,65
129-13227,65
129N04249,55
129+04341,65
129N04129,55
129+04182,60
129N04397,65
129N04112,55
129N04131,65
129N04432,45
129+04752,40
129+04424,65
129P04195,50
129P04372,55
129+04420,55
129+04644,55
129-04304,65
129P04367,55
129P04120,45
129P04310,65
129P04314,55
129P04427,40
129P04286,65
129+04777,50
129+04190,60
129P04398,65
129P04389,65
129P04322,65
129P04746,45
129-04441,65
129+04614,65
129+04638,55
129N04419,55
129N04446,65
129P05584,40
129P04186,60
129P04624,65
129P04342,65
129+04123,45
129+04303,65
129-04747,45
129-04292,65
129-04779,50
129N04666,55
129N04480,55
129N04746,45
129N04300,65
129P04921,40
129P04343,65
129P04428,55
129N04747,45
129N04770,50
129N04243,55
129-04368,55
129N04743,55
129-04135,65
129P04312,55
129P04413,25
129P04444,65
129+04746,45
129-04352,55
129-04919,45
129-04100,55
129P04373,55
129-04187,60
129P04099,55
129P04747,45
129-04190,60
129P04127,55
129P04371,55
129-04115,45
129-04131,65
129-04349,65
129-04137,65
129P04107,55
129P04318,65
129-04319,65
129-04324,65
129P04425,65
129+04450,65
129+04678,65
129P13228,65
129+04143,65
129+04664,55
129P13227,65
129+04317,65
129+04357,55
129N13227,65
129+04179,60
129P04306,65
129P04315,65
129-04403,55
129+04306,65
129+04266,55
129+04319,65
129-04102,55
129-04391,65
129-04405,55
129+04299,65
129+04286,65
129+04434,45
129+04397,65
129+04372,55
129-04126,55
129-04252,55
129-04331,55
129+04110,55
129P04357,55
129+04108,55
129+04774,50
129P04115,45
129+04194,55
129P04613,65
129+04302,65
129+04342,65
129P04125,45
129P04390,65
129P04194,55
129+04327,50
129P04412,25
129+04318,65
129+04370,55
129P04638,55
129+04334,55
129+04451,65
129+04178,60
129P04344,65
129+04142,65
129+04332,55
129+04329,50
129+04122,45
129+04271,55
129+14199,45
129N04399,65
129P04251,55
129+04427,65
129+04663,55
129+04421,50
129+04246,55
129+04268,55
129+04337,55
129+04391,65
129+04297,65
129P04350,65
129P04402,55
129P04304,65
129P04410,25
129P04415,35
129P04628,65
129P04139,65
129+04107,55
129+04418,50
129+04298,65
129+04313,55
129+04356,55
129+04358,55
129+04285,65
129+04361,55
129P04113,55
129+04641,55
129+04265,55
129P04140,65
129+04127,55
129+04284,65
129+04192,60
129+04250,55
129+04379,55
129P04424,65
129P04382,55
129P04276,65
129P04403,55
129P04354,55
129P04416,50
129P04317,65
129P04460,65
129P04752,25
129P04417,50
129P04388,65
129P04289,65
129P04772,50
129+04252,55
129+04290,65
129+04449,65
129+04125,45
129+04411,25
129+04433,45
129+04780,50
129+04100,55
129+04112,55
129+04195,55
129+04404,55
129+04350,65
129+04310,65
129+04105,55
129+04184,60
129+04378,55
129+04393,65
129+04117,45
129+04124,45
129+04380,55
129+04245,55
